Inserted 100000 prefixes into trie
match rule 69841, reject
match rule 51374, reject
match rule 76843, reject
match rule 5148, permit
match rule 64498, permit
match rule 12915, permit
match rule 89944, reject
match rule 37629, reject
match rule 37589, reject
match rule 36551, reject
match rule 70859, reject
match rule 37919, reject
match rule 34385, permit
match rule 70989, reject
match rule 47246, permit
match rule 45075, reject
match rule 12997, permit
match rule 66089, reject
match rule 34488, reject
match rule 87358, reject
match rule 33111, permit
match rule 49013, permit
match rule 40687, reject
match rule 20613, reject
match rule 76248, permit
match rule 74998, reject
match rule 62062, permit
match rule 14242, permit
match rule 55231, reject
match rule 30229, reject
match rule 5590, permit
match rule 72049, permit
match rule 39960, permit
match rule 51271, reject
match rule 67068, permit
match rule 9411, reject
match rule 57958, permit
match rule 30328, reject
match rule 16974, permit
match rule 76988, permit
match rule 25017, reject
match rule 34996, reject
match rule 75492, reject
match rule 76672, permit
match rule 11104, permit
match rule 42790, reject
match rule 54521, reject
match rule 36455, permit
match rule 77428, permit
match rule 79557, reject
match rule 31908, permit
match rule 39117, permit
match rule 51713, permit
match rule 51775, permit
match rule 21283, permit
match rule 9424, permit
match rule 12997, permit
match rule 21839, permit
match rule 50376, permit
match rule 6958, permit
match rule 46481, permit
match rule 39110, reject
match rule 13168, reject
match rule 37905, permit
match rule 31112, reject
match rule 62421, permit
match rule 25912, permit
match rule 6427, reject
match rule 39859, reject
match rule 68178, reject
match rule 77721, permit
match rule 13370, reject
match rule 10297, reject
match rule 19084, reject
match rule 40204, reject
match rule 45026, reject
match rule 23530, permit
match rule 65489, reject
match rule 58662, reject
match rule 56373, reject
match rule 56825, permit
match rule 85283, permit
match rule 33004, permit
match rule 66557, reject
match rule 11853, permit
match rule 54514, permit
match rule 15284, reject
match rule 47992, permit
match rule 50587, reject
match rule 8663, reject
match rule 37997, permit
match rule 22429, reject
match rule 6214, reject
match rule 34, permit
match rule 1914, permit
match rule 59580, permit
match rule 46589, reject
match rule 33004, permit
match rule 4601, reject
match rule 29253, permit
match rule 73700, reject
match rule 29598, reject
match rule 35612, permit
match rule 17116, reject
match rule 3065, permit
match rule 12289, permit
match rule 29975, reject
match rule 51739, permit
match rule 1860, reject
match rule 46020, permit
match rule 50210, reject
match rule 10002, reject
match rule 2486, reject
match rule 6416, permit
match rule 68720, permit
match rule 23070, permit
match rule 30181, reject
match rule 22780, reject
match rule 22885, reject
match rule 6416, permit
match rule 45793, permit
match rule 51403, permit
match rule 58996, reject
match rule 3492, reject
match rule 25816, permit
match rule 55680, reject
match rule 45261, permit
match rule 66468, reject
match rule 31463, permit
match rule 39755, reject
match rule 50352, reject
match rule 88123, permit
match rule 23680, permit
match rule 26439, reject
match rule 29500, permit
match rule 36247, permit
match rule 75916, permit
match rule 34161, reject
match rule 79509, permit
match rule 8945, reject
match rule 69710, reject
match rule 50627, reject
match rule 1916, permit
match rule 55995, permit
match rule 73975, permit
match rule 20297, reject
match rule 16305, reject
match rule 51374, reject
match rule 32544, permit
match rule 16318, permit
match rule 7364, reject
match rule 75353, permit
match rule 1586, reject
match rule 1144, permit
match rule 83359, permit
match rule 46153, permit
match rule 85876, permit
match rule 12752, permit
match rule 1937, reject
match rule 42573, reject
match rule 6514, reject
match rule 70347, permit
match rule 25231, reject
match rule 54228, reject
match rule 44722, reject
match rule 18175, permit
match rule 72049, permit
match rule 55656, permit
match rule 27210, reject
match rule 29608, reject
match rule 83154, permit
match rule 84400, permit
match rule 80293, reject
match rule 37268, reject
match rule 33644, permit
match rule 39291, permit
match rule 35386, reject
match rule 4779, permit
match rule 2636, permit
match rule 8630, permit
match rule 40874, permit
match rule 44285, reject
match rule 31630, reject
match rule 61262, reject
match rule 24807, reject
match rule 26167, reject
match rule 66539, reject
match rule 22357, permit
match rule 31895, permit
match rule 88123, permit
match rule 51410, reject
match rule 24146, permit
match rule 47804, permit
match rule 6744, reject
match rule 59949, reject
match rule 31549, permit
match rule 53002, permit
match rule 8369, reject
match rule 3472, reject
match rule 25452, permit
match rule 1388, reject
match rule 23284, reject
match rule 71882, permit
match rule 68930, reject
match rule 65095, reject
match rule 63321, reject
match rule 42657, permit
match rule 32717, reject
match rule 8836, permit
match rule 10002, reject
match rule 49216, reject
match rule 62257, permit
match rule 45286, permit
match rule 43871, reject
match rule 38673, reject
match rule 31053, reject
match rule 13908, permit
match rule 44324, reject
match rule 3454, reject
match rule 31885, reject
match rule 19311, permit
match rule 52568, permit
match rule 34385, permit
match rule 27253, permit
match rule 86259, reject
match rule 39960, permit
match rule 33965, permit
match rule 72664, reject
match rule 15123, reject
match rule 40122, reject
match rule 73479, reject
match rule 67873, reject
match rule 14066, permit
match rule 122, permit
match rule 68884, permit
match rule 61559, permit
match rule 30421, reject
match rule 66982, permit
match rule 18334, permit
match rule 73700, reject
match rule 18083, reject
match rule 66709, permit
match rule 11192, permit
match rule 34604, reject
match rule 57195, permit
match rule 6461, permit
match rule 26487, reject
match rule 70051, permit
match rule 13737, permit
match rule 11371, permit
match rule 53218, reject
match rule 26957, permit
match rule 53002, permit
match rule 4412, permit
match rule 42292, permit
match rule 50210, reject
match rule 44693, permit
match rule 46141, reject
match rule 7606, permit
match rule 46130, reject
match rule 16057, permit
match rule 54652, permit
match rule 2818, permit
match rule 51963, permit
match rule 26712, reject
match rule 29786, permit
match rule 36640, reject
match rule 3177, reject
match rule 66218, reject
match rule 83122, reject
match rule 26830, permit
match rule 70098, reject
match rule 79243, permit
match rule 16597, permit
match rule 74280, permit
match rule 64959, permit
match rule 18510, reject
match rule 20927, permit
match rule 14658, permit
match rule 58846, permit
match rule 21908, reject
match rule 33997, permit
match rule 4354, reject
match rule 50558, reject
match rule 41448, reject
match rule 36300, permit
match rule 17607, reject
match rule 1937, reject
match rule 2854, reject
match rule 41039, permit
match rule 65425, reject
match rule 65554, reject
match rule 1021, reject
match rule 7494, permit
match rule 7833, permit
match rule 34601, reject
match rule 30450, reject
match rule 47337, permit
match rule 39813, permit
match rule 49722, permit
match rule 48098, reject
match rule 887, reject
match rule 1180, permit
match rule 28106, permit
match rule 67529, permit
match rule 30328, reject
match rule 40415, reject
match rule 67610, reject
match rule 36165, permit
match rule 12790, permit
match rule 64864, permit
match rule 59752, reject
match rule 84101, reject
match rule 69068, permit
match rule 16601, reject
match rule 73601, reject
match rule 70151, permit
match rule 57564, permit
match rule 51163, permit
match rule 15820, permit
match rule 58975, permit
match rule 9411, reject
match rule 70422, permit
match rule 17635, permit
match rule 51194, permit
match rule 2368, permit
match rule 7604, permit
match rule 1220, permit
match rule 28753, reject
match rule 60523, reject
match rule 80002, permit
match rule 22627, reject
match rule 82835, permit
match rule 21775, permit
match rule 3239, reject
match rule 60456, reject
match rule 20168, permit
match rule 82663, permit
match rule 9639, permit
match rule 9944, permit
match rule 39117, permit
match rule 35445, reject
match rule 16247, permit
match rule 68573, permit
match rule 3833, permit
match rule 64813, reject
match rule 43117, reject
match rule 87809, reject
match rule 119, reject
match rule 59628, permit
match rule 3409, reject
match rule 11776, permit
match rule 68496, permit
match rule 13734, reject
match rule 39269, reject
match rule 23530, permit
match rule 25486, permit
match rule 79562, permit
match rule 63812, permit
match rule 77383, reject
match rule 63163, reject
match rule 84430, reject
match rule 86213, permit
match rule 5209, permit
match rule 44682, permit
match rule 68732, permit
match rule 62640, reject
match rule 40548, reject
match rule 242, permit
match rule 55789, permit
match rule 35097, permit
match rule 41518, reject
match rule 84430, reject
match rule 73963, reject
match rule 23141, permit
match rule 63620, reject
match rule 53147, permit
match rule 38993, permit
match rule 67972, permit
match rule 8637, permit
match rule 69031, permit
match rule 5148, permit
match rule 30756, reject
match rule 10297, reject
match rule 76490, permit
match rule 41737, reject
match rule 59373, reject
match rule 36886, reject
match rule 11308, permit
match rule 32531, permit
match rule 5209, permit
match rule 39929, permit
match rule 7857, permit
match rule 1293, reject
match rule 52893, reject
match rule 74772, permit
match rule 71483, reject
match rule 48670, permit
match rule 44997, permit
match rule 31622, permit
match rule 76721, reject
match rule 67900, permit
match rule 13892, reject
match rule 20954, reject
match rule 58864, reject
match rule 43871, reject
match rule 17195, permit
match rule 66317, permit
match rule 5239, reject
match rule 1282, permit
match rule 3956, reject
match rule 23904, reject
match rule 88301, reject
match rule 27174, permit
match rule 51615, permit
match rule 12498, reject
match rule 63294, permit
match rule 39366, permit
match rule 49423, permit
match rule 46204, permit
match rule 54031, reject
match rule 26268, permit
match rule 96286, reject
match rule 35079, reject
match rule 62467, permit
match rule 60892, permit
match rule 23530, permit
match rule 31719, permit
match rule 74164, permit
match rule 55331, permit
match rule 48197, permit
match rule 28894, permit
match rule 35254, reject
match rule 41088, reject
match rule 63163, reject
match rule 21398, permit
match rule 71310, reject
match rule 17194, reject
match rule 15167, permit
match rule 6310, reject
match rule 54031, reject
match rule 56972, permit
match rule 6971, permit
match rule 22871, permit
match rule 36070, reject
match rule 5909, reject
match rule 52783, reject
match rule 16845, reject
match rule 27877, permit
match rule 4725, reject
match rule 65301, permit
match rule 28323, permit
match rule 73569, permit
match rule 49686, permit
match rule 13903, permit
match rule 39562, reject
match rule 42885, reject
match rule 66663, reject
match rule 5089, permit
match rule 3833, permit
match rule 739, permit
match rule 50542, permit
match rule 73615, permit
match rule 36778, reject
match rule 51448, permit
match rule 53650, permit
match rule 10816, permit
match rule 32812, reject
match rule 72959, reject
match rule 23747, permit
match rule 31287, reject
match rule 35948, permit
match rule 24503, permit
match rule 35780, permit
match rule 1860, reject
match rule 61738, permit
match rule 24905, reject
match rule 53352, permit
match rule 47581, permit
match rule 63254, permit
match rule 65595, permit
match rule 46515, permit
match rule 45950, reject
match rule 87904, permit
match rule 53352, permit
match rule 72732, permit
match rule 22422, permit
match rule 86578, reject
match rule 31437, permit
match rule 51364, permit
match rule 12720, reject
match rule 76696, reject
match rule 84289, permit
match rule 51024, permit
match rule 77694, permit
match rule 344, permit
match rule 3529, permit
match rule 71305, permit
match rule 43580, reject
match rule 5107, reject
match rule 37120, reject
match rule 96286, reject
match rule 451, permit
match rule 49958, permit
match rule 70685, permit
match rule 46329, permit
match rule 22852, reject
match rule 8386, reject
match rule 23681, permit
match rule 35079, reject
match rule 42833, permit
match rule 23877, permit
match rule 66802, permit
match rule 37273, permit
match rule 641, reject
match rule 58030, reject
match rule 14489, permit
match rule 20499, permit
match rule 31220, permit
match rule 50459, reject
match rule 26087, permit
match rule 90730, permit
match rule 43954, permit
match rule 5648, reject
match rule 22980, permit
match rule 50143, reject
match rule 13828, permit
match rule 18030, permit
match rule 23694, reject
match rule 85603, reject
match rule 14648, reject
match rule 79060, reject
match rule 5376, reject
match rule 50396, reject
match rule 12826, reject
match rule 39914, permit
match rule 15638, reject
match rule 59628, permit
match rule 64813, reject
match rule 20088, reject
match rule 65098, reject
match rule 80639, reject
match rule 17607, reject
match rule 16190, reject
match rule 46331, reject
match rule 24442, permit
match rule 51745, permit
match rule 18567, permit
match rule 54152, reject
match rule 82876, permit
match rule 51639, reject
match rule 50516, permit
match rule 21212, reject
match rule 94873, permit
match rule 46614, reject
match rule 27997, permit
match rule 35445, reject
match rule 9557, reject
match rule 19873, permit
match rule 44575, permit
match rule 33334, reject
match rule 48098, reject
match rule 77357, permit
match rule 291, permit
match rule 54654, permit
match rule 19372, reject
match rule 48658, reject
match rule 5178, permit
match rule 20545, permit
match rule 62716, reject
match rule 20001, permit
match rule 33146, reject
match rule 70989, reject
match rule 37091, permit
match rule 19507, reject
match rule 66289, reject
match rule 21644, reject
match rule 31560, permit
match rule 71267, permit
match rule 19838, reject
match rule 26916, permit
match rule 23868, reject
match rule 68297, reject
match rule 6496, reject
match rule 52698, reject
match rule 62348, reject
match rule 72049, permit
match rule 61038, permit
match rule 70729, permit
match rule 39759, permit
match rule 25297, reject
match rule 81168, permit
match rule 51685, reject
match rule 34155, reject
match rule 12915, permit
match rule 44313, reject
match rule 52513, reject
match rule 27745, reject
match rule 63351, reject
match rule 48201, reject
match rule 48975, reject
match rule 17337, reject
match rule 19570, permit
match rule 47875, permit
match rule 5664, reject
match rule 70374, permit
match rule 16559, permit
match rule 3166, permit
match rule 18643, permit
match rule 65554, reject
match rule 15053, reject
match rule 15280, permit
match rule 54900, reject
match rule 72820, permit
match rule 9576, reject
match rule 51496, permit
match rule 53931, permit
match rule 70098, reject
match rule 11671, reject
match rule 72859, reject
match rule 28908, reject
match rule 5326, permit
match rule 56719, permit
match rule 42110, reject
match rule 813, permit
match rule 5663, reject
match rule 68243, permit
match rule 4783, reject
match rule 43972, permit
match rule 66083, reject
match rule 65681, permit
match rule 59120, reject
match rule 84625, reject
match rule 10253, permit
match rule 23284, reject
match rule 35715, permit
match rule 38012, reject
match rule 1282, permit
match rule 14735, permit
match rule 12856, reject
match rule 32112, permit
match rule 49245, reject
match rule 7849, permit
match rule 32625, reject
match rule 1076, permit
match rule 18535, reject
match rule 11495, reject
match rule 26957, permit
match rule 45419, permit
match rule 75585, permit
match rule 14974, reject
match rule 57195, permit
match rule 46286, reject
match rule 44787, permit
match rule 57224, permit
match rule 7577, permit
match rule 74195, permit
match rule 94452, reject
match rule 40368, permit
match rule 23469, reject
match rule 1282, permit
match rule 18398, permit
match rule 18737, reject
match rule 73480, reject
match rule 54318, reject
match rule 22719, permit
match rule 56162, reject
match rule 81573, reject
match rule 72068, reject
match rule 64429, reject
match rule 70347, permit
match rule 2109, permit
match rule 11213, reject
match rule 42292, permit
match rule 72664, reject
match rule 40398, permit
match rule 13997, reject
match rule 50556, permit
match rule 2531, permit
match rule 71200, permit
match rule 56195, permit
match rule 8838, reject
match rule 80436, permit
match rule 48064, reject
match rule 75547, reject
match rule 25004, permit
match rule 84718, permit
match rule 15403, reject
match rule 13583, reject
match rule 28652, reject
match rule 34193, reject
match rule 9534, permit
match rule 72272, permit
match rule 77312, permit
match rule 2622, reject
match rule 81701, reject
match rule 83122, reject
match rule 40811, reject
match rule 6161, permit
match rule 66627, permit
match rule 27484, reject
match rule 31463, permit
match rule 20840, reject
match rule 71897, permit
match rule 28485, permit
match rule 42557, reject
match rule 60661, reject
match rule 1148, permit
match rule 54318, reject
match rule 2626, reject
match rule 14783, permit
match rule 7718, permit
match rule 38091, permit
match rule 42239, reject
match rule 63163, reject
match rule 22116, reject
match rule 64183, reject
match rule 16208, permit
match rule 13953, permit
match rule 16345, reject
match rule 10323, reject
match rule 12752, permit
match rule 3819, reject
match rule 23070, permit
match rule 81420, reject
match rule 21169, permit
match rule 852, permit
match rule 28097, permit
match rule 8942, permit
match rule 48900, reject
match rule 35948, permit
match rule 5322, permit
match rule 63988, permit
match rule 45335, permit
match rule 83693, reject
match rule 10261, reject
match rule 37029, reject
match rule 2937, permit
match rule 41291, reject
match rule 33535, permit
match rule 54418, permit
match rule 59373, reject
match rule 1012, permit
match rule 73963, reject
match rule 15573, reject
match rule 13124, permit
match rule 69931, permit
match rule 51967, permit
match rule 8172, permit
match rule 85667, permit
match rule 16995, reject
match rule 36886, reject
match rule 76842, permit
match rule 48236, permit
match rule 30227, reject
match rule 47551, permit
match rule 42241, reject
match rule 36720, reject
match rule 5287, permit
match rule 7600, permit
match rule 10413, reject
match rule 14801, permit
match rule 18352, permit
match rule 45286, permit
match rule 58522, permit
match rule 36416, reject
match rule 63620, reject
match rule 74707, reject
match rule 21956, reject
match rule 16303, reject
match rule 28323, permit
match rule 10297, reject
match rule 24524, reject
match rule 76034, permit
match rule 20225, reject
match rule 30836, reject
match rule 3625, permit
match rule 49009, reject
match rule 2984, permit
match rule 35813, reject
match rule 58955, permit
match rule 41291, reject
match rule 80227, permit
match rule 55384, reject
match rule 72732, permit
match rule 30482, permit
match rule 2756, permit
match rule 13871, reject
match rule 50662, permit
match rule 69043, permit
match rule 23050, reject
match rule 71043, reject
match rule 2050, reject
match rule 44163, permit
match rule 25138, reject
match rule 12565, permit
match rule 30048, reject
match rule 12120, reject
match rule 57135, permit
match rule 29147, reject
match rule 1052, permit
match rule 49461, reject
match rule 39290, reject
match rule 78621, permit
match rule 20881, permit
match rule 33332, reject
match rule 73569, permit
match rule 81168, permit
match rule 19944, permit
match rule 37997, permit
match rule 33965, permit
match rule 2061, permit
match rule 66638, permit
match rule 63551, permit
match rule 43528, reject
match rule 79434, reject
match rule 3819, reject
match rule 26064, permit
match rule 39008, permit
match rule 16447, permit
match rule 59070, reject
match rule 45773, permit
match rule 34830, reject
match rule 467, permit
match rule 17384, reject
match rule 30905, reject
match rule 32207, permit
match rule 80990, permit
match rule 24193, reject
match rule 36050, permit
match rule 68222, permit
match rule 31542, reject
match rule 69544, reject
match rule 90072, reject
match rule 67863, reject
match rule 64461, reject
match rule 60241, reject
match rule 66289, reject
match rule 22116, reject
match rule 25413, reject
match rule 19794, permit
match rule 64743, reject
match rule 17434, permit
match rule 75042, reject
match rule 24827, permit
match rule 48558, permit
match rule 35148, permit
match rule 16704, reject
match rule 37517, permit
match rule 28100, reject
match rule 15592, reject
match rule 14235, reject
match rule 24083, permit
match rule 50516, permit
match rule 42597, permit
match rule 39755, reject
match rule 41448, reject
match rule 46331, reject
match rule 31747, reject
match rule 64743, reject
match rule 65098, reject
match rule 9751, permit
match rule 16739, permit
match rule 65214, permit
match rule 56298, permit
match rule 50267, permit
match rule 20840, reject
match rule 17868, reject
match rule 7193, permit
match rule 8014, reject
match rule 11265, reject
match rule 60607, reject
match rule 6774, reject
match rule 11687, permit
match rule 64405, permit
match rule 3113, permit
match rule 24486, permit
match rule 89177, reject
match rule 87230, permit
match rule 29401, permit
match rule 27752, permit
match rule 19944, permit
match rule 18324, reject
match rule 67843, reject
match rule 41081, permit
match rule 55408, reject
match rule 30916, permit
match rule 49245, reject
match rule 40281, permit
match rule 84400, permit
match rule 27997, permit
match rule 63307, reject
match rule 12630, reject
match rule 18808, reject
match rule 28753, reject
match rule 55651, reject
match rule 50587, reject
match rule 5158, reject
match rule 41513, permit
match rule 26587, reject
match rule 85299, reject
match rule 21633, permit
match rule 5923, permit
match rule 60114, reject
match rule 79557, reject
match rule 21169, permit
match rule 83035, reject
match rule 26359, reject
match rule 35114, permit
match rule 42239, reject
match rule 5393, reject
match rule 6514, reject
match rule 25486, permit
match rule 23335, reject
match rule 44774, permit
match rule 48970, permit
match rule 27427, reject
match rule 27997, permit
match rule 70347, permit
match rule 46311, permit
match rule 54677, permit
match rule 39262, permit
match rule 55254, reject
match rule 43321, permit
match rule 76523, permit
match rule 52365, permit
match rule 14294, permit
match rule 60892, permit
match rule 8838, reject
match rule 72956, reject
match rule 35502, permit
match rule 40804, permit
match rule 81468, reject
match rule 85876, permit
match rule 11267, reject
match rule 25501, reject
match rule 78363, reject
match rule 76988, permit
match rule 27844, reject
match rule 62628, reject
match rule 60827, permit
match rule 34006, permit
match rule 13258, permit
match rule 24668, permit
match rule 39836, permit
match rule 40834, permit
match rule 28753, reject
match rule 85914, permit
match rule 48114, permit
match rule 67069, permit
match rule 55280, reject
match rule 40415, reject
match rule 94540, permit
match rule 11084, reject
match rule 38614, permit
match rule 17298, permit
match rule 19113, permit
match rule 4289, permit
match rule 5734, reject
match rule 2586, reject
match rule 60072, permit
match rule 8671, permit
match rule 22573, permit
match rule 1755, reject
match rule 64813, reject
match rule 90730, permit
match rule 19314, permit
match rule 48098, reject
match rule 54141, reject
match rule 19139, permit
match rule 37726, permit
match rule 25542, permit
match rule 79829, permit
match rule 84360, reject
match rule 18377, permit
match rule 80639, reject
match rule 77995, reject
match rule 41200, permit
match rule 77498, reject
match rule 26583, reject
match rule 81352, reject
match rule 18089, reject
match rule 35254, reject
match rule 27893, reject
match rule 78782, reject
match rule 41807, permit
match rule 67887, reject
match rule 45720, permit
match rule 60117, reject
match rule 16376, reject
match rule 23072, reject
match rule 69043, permit
match rule 37555, permit
match rule 25486, permit
match rule 62719, reject
match rule 56251, reject
match rule 45861, permit
match rule 45291, reject
match rule 16057, permit
